feature,importance_mean,importance_std
interest_rate,0.04389880952380956,0.009021097956087904
credit_score,0.035714285714285726,0.012089342864041612
annual_income,0.021577380952380987,0.005313562818856268
loan_amount,0.0074404761904762196,0.009982446328124067
home_ownership,0.005952380952380987,0.0066549642187494
loan_term_months,0.0014880952380952328,0.0014880952380952328
credit_history_years,0.0007440476190476442,0.004879046521058065
education,2.7755575615628914e-17,0.0042089689356342355
debt_to_income,-0.0014880952380952328,0.003327482109374675
loan_purpose,-0.0029761904761904656,0.002104484467817098
employment_years,-0.004464285714285698,0.007440476190476164
monthly_debt,-0.004464285714285698,0.0025774565588822487
previous_defaults,-0.006696428571428548,0.004879046521058019
applicant_age,-0.009672619047619013,0.0057151382052593605
